Hash,vendorPartNo,imageName,TRSku,PUSku,category,model,description,unitPrice,TRQty,PUQty,ImageURL
01001-214-01,01001-214-01,01001-214-1,956112,856112,CASUAL,GOGGLE CASES,100% GOGGLE CASE NVYWHT,27,0,860,https://3366283.app.netsuite.com/core/media/media.nl?id=128525&c=3366283&h=19656aba3a6779d08623
01001-248-01,01001-248-01,01001-248-1,956733,856733,CASUAL,GOGGLE CASES,GOGGLE CASE REDBLK,27,27,301,https://3366283.app.netsuite.com/core/media/media.nl?id=160956&c=3366283&h=aoEHqQu1ax-apQUgnj1MXCdjPxBeXEFhEsnjQmbWADWsa2Ah
01001-259-01,01001-259-01,01001-259-1,956113,856113,CASUAL,GOGGLE CASES,100% GOGGLE CASE BLK CAMO,27,0,794,https://3366283.app.netsuite.com/core/media/media.nl?id=127666&c=3366283&h=bdb97403ecf41ba92ff6
01001-294-01,01001-294-01,01001-294-1,955478,855478,CASUAL,GOGGLE CASES,GOGGLE CASE CRNRSTN BLKREDBLU,27,99,834,https://3366283.app.netsuite.com/core/media/media.nl?id=128762&c=3366283&h=ed160ff16e247bc42021
01001-323-01,01001-323-01,01001-323-1,956114,856114,CASUAL,GOGGLE CASES,100% GOGGLE CASE BLKBRZ,27,0,991,https://3366283.app.netsuite.com/core/media/media.nl?id=127814&c=3366283&h=1109cf918a9468f48861
01001-440-01,01001-440-01,01001-440-1,956734,856734,CASUAL,GOGGLE CASES,GOGGLE CASE DESERT CAMO,27,27,478,https://3366283.app.netsuite.com/core/media/media.nl?id=161297&c=3366283&h=Dnaz7NfjQ2YfJ0X0FY3Z8Gg5e1BxK4KlLzCwQSeQxXO45qBl
01001-441-01,01001-441-01,01001-441-1,956735,856735,CASUAL,GOGGLE CASES,GOGGLE CASE TRACKMAN,27,26,602,https://3366283.app.netsuite.com/core/media/media.nl?id=160446&c=3366283&h=ffZI1jTrpxIXxveVpuqKKMjhdG5pjaJ6hMKDo49NhM0xUtCN
01004-001-01,01004-001-01,01004-001-1,956115,856115,CASUAL,BACKPACKS,SKYCAP BACKPACK BLK,30,12,255,https://3366283.app.netsuite.com/core/media/media.nl?id=128752&c=3366283&h=ee9029b10d88e611f05c
01004-015-01,01004-015-01,01004-015-1,956116,856116,CASUAL,BACKPACKS,SKYCAP BACKPACK NVY,30,0,821,https://3366283.app.netsuite.com/core/media/media.nl?id=113924&c=3366283&h=3b0cd4a3734674eaea6f
01004-064-01,01004-064-01,01004-064-1,956727,856727,CASUAL,BACKPACKS,SKYCAP BACKPACK CAMO,30,23,907,https://3366283.app.netsuite.com/core/media/media.nl?id=161580&c=3366283&h=URpX7QtZut2TQDxq3mK3tHr0tfxfnzVg4MZKBtPYmTovkQ7u
